Title,description,authors,publisher,publishedDate,categories,ratingsCount
Aztec,"The epic tale of an Aztec survivor of the Spanish conquest and his times as a warrior, scribe, travelling merchant, confidant of Motecuhzoma II, and envoy to the invading Spaniards",Gary Jennings,Atheneum Books,1980,Fiction,12.0
Blood of the Fold (Sword of Truth Series),"In a fantasy world as rich and real as our own, Richard Rahl and Kahlan Amnell stand against the ancient forces which besiege the New World, forces so terrible that when last they threatened, they could only be withstood by sealing off the Old World from whence they came. Now the barrier has been breached, and the New World is again beset by their evil power",Terry Goodkind,Orion Books Limited,2008,Good and evil,1.0
"Uglies (Uglies Trilogy, Book 1)",A fresh repackaging of the bestselling Uglies boks...the series that started the whole dystopian trend!,Scott Westerfeld,Simon and Schuster,2011-05-03,Juvenile Fiction,409.0
"Pretties (Uglies Trilogy, Book 2)",Scott Westerfeld's bestselling Uglies series in a collectible paperback boxed-set!,Scott Westerfeld,Simon Pulse,2009-10-06,Juvenile Fiction,1.0
Call It Courage,"Relates how Mafatu, a young Polynesian boy whose name means Stout Heart, overcomes his terrible fear of the sea and proves his courage to himself and his people.",Armstrong Sperry,Aladdin Paperbacks,2003-05,Courage,25.0
Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,"Recounts the story of how a notorious gang of MIT blackjack savants devised and received backing for a system for winning at the world's most sophisticated casinos, an endeavor that earned them more than three million dollars. Originally published as Bringing Down the House. Reprint. (A Columbia Pictures film, written by Peter Steinfeld & Allan Loeb, directed by Robert Luketic, releasing March 2008, starring Kevin Spacey, Kate Bosworth, Laurence Fishburne, Jim Sturgess, & others) (Current Affairs)",Ben Mezrich,Simon and Schuster,2008,Games,12.0
Bury My Heart at Wounded Knee: An Indian History of the American West,Documents and personal narratives record the experiences of Native Americans during the nineteenth century.,"Dee Alexander Brown, Dee Brown",Macmillan,2007-05-15,History,5.0
"One Shot (Jack Reacher, No. 9)","Six shots. Five dead. A heartland city thrown into terror. But within hours the cops have it solved. A slam-dunk case. Apart from one thing. The accused gunman refuses to talk except for a single phrase: Get Jack Reacher for me. Reacher lives off the grid. He's not looking for trouble. But sometimes trouble looks for him. What could connect the noble Reacher to this psychopathic killer? _________ Although the Jack Reacher can be read in any order, One Shot is the 9th in the series. And be sure not to miss Reacher's newest adventure, no.26, Better off Dead! ***OUT NOW***",Lee Child,Random House,2009-09-15,Fiction,8.0
The Painted Veil,"The novel is set in the 1920s in England and Hong Kong and tells the story of the beautiful but loveless Kitty Fane. When her husband discovers her extramarital affair, he forces her to accompany him to the epicenter of a cholera outbreak. She is prompted by her awakening personality to reassess her life and learn how to love after being stripped of the British society of her youth and the small but effective society she fought so hard to achieve in Hong Kong. The title of this novel alludes to Percy Bysshe Shelley's 1824 sonnet, ""Lift not the painted veil which those who live / Call Life."" ""The Painted Veil"" is a beautifully written testament to the human capacity to change, grow, and forgive.",W. Somerset Maugham,DigiCat,2022-07-21,Fiction,76.0
The Importance of Being Earnest and Other Plays,"Offers newly edited texts of five of the British playwright's works, including the great farcial comedy ""The Importance of Being Earnest.""",Oscar Wilde,Oxford Paperbacks,2008-04-17,Drama,1.0
Slaughterhouse-Five : Or the Children's Crusade,"A special fiftieth anniversary edition of Kurt Vonnegut’s masterpiece, “a desperate, painfully honest attempt to confront the monstrous crimes of the twentieth century” (Time), featuring a new introduction by Kevin Powers, author of the National Book Award finalist The Yellow Birds Selected by the Modern Library as one of the 100 best novels of all time Slaughterhouse-Five, an American classic, is one of the world’s great antiwar books. Centering on the infamous World War II firebombing of Dresden, the novel is the result of what Kurt Vonnegut described as a twenty-three-year struggle to write a book about what he had witnessed as an American prisoner of war. It combines historical fiction, science fiction, autobiography, and satire in an account of the life of Billy Pilgrim, a barber’s son turned draftee turned optometrist turned alien abductee. As Vonnegut had, Billy experiences the destruction of Dresden as a POW. Unlike Vonnegut, he experiences time travel, or coming “unstuck in time.” An instant bestseller, Slaughterhouse-Five made Kurt Vonnegut a cult hero in American literature, a reputation that only strengthened over time, despite his being banned and censored by some libraries and schools for content and language. But it was precisely those elements of Vonnegut’s writing—the political edginess, the genre-bending inventiveness, the frank violence, the transgressive wit—that have inspired generations of readers not just to look differently at the world around them but to find the confidence to say something about it. Authors as wide-ranging as Norman Mailer, John Irving, Michael Crichton, Tim O’Brien, Margaret Atwood, Elizabeth Strout, David Sedaris, Jennifer Egan, and J. K. Rowling have all found inspiration in Vonnegut’s words. Jonathan Safran Foer has described Vonnegut as “the kind of writer who made people—young people especially—want to write.” George Saunders has declared Vonnegut to be “the great, urgent, passionate American writer of our century, who offers us . . . a model of the kind of compassionate thinking that might yet save us from ourselves.” Fifty years after its initial publication at the height of the Vietnam War, Vonnegut's portrayal of political disillusionment, PTSD, and postwar anxiety feels as relevant, darkly humorous, and profoundly affecting as ever, an enduring beacon through our own era’s uncertainties. “Poignant and hilarious, threaded with compassion and, behind everything, the cataract of a thundering moral statement.”—The Boston Globe",Kurt Vonnegut,Dial Press Trade Paperback,1999-01-12,Fiction,1523.0
Naked Economics: Undressing the Dismal Science,Seeks to provide an engaging and comprehensive primer to economics that explains key concepts without technical jargon and using common-sense examples.,Charles Wheelan,W. W. Norton & Company,2010-04-19,Business & Economics,12.0
City of Bones,"Suddenly able to see demons and the Darkhunters who are dedicated to returning them to their own dimension, fifteen-year-old Clary Fray is drawn into this bizarre world when her mother disappears and Clary herself is almost killed by a monster.",Cassandra Clare,Simon and Schuster,2015-09,Juvenile Fiction,2510.0
Black Beauty (Troll Illustrated Classics),A horse in nineteenth-century England recounts his experiences with both good and bad masters.,"Anna Sewell, Anne M. Simpson",Turtleback Books,2002-03-01,Juvenile Fiction,4.0
World Lit Only By Fire,"A ""lively and engaging"" history of the Middle Ages (Dallas Morning News) from the acclaimed historian William Manchester, author of The Last Lion. From tales of chivalrous knights to the barbarity of trial by ordeal, no era has been a greater source of awe, horror, and wonder than the Middle Ages. In handsomely crafted prose, and with the grace and authority of his extraordinary gift for narrative history, William Manchester leads us from a civilization tottering on the brink of collapse to the grandeur of its rebirth: the dense explosion of energy that spawned some of history's greatest poets, philosophers, painters, adventurers, and reformers, as well as some of its most spectacular villains. ""Manchester provides easy access to a fascinating age when our modern mentality was just being born."" --Chicago Tribune",William Manchester,Back Bay Books,2009-09-26,History,31.0
Sphere,"From the author of Jurassic Park, Timeline, and Congo comes a psychological thriller about a group of scientists who investigate a spaceship discovered on the ocean floor. In the middle of the South Pacific, a thousand feet below the surface, a huge vessel is unearthed. Rushed to the scene is a team of American scientists who descend together into the depths to investigate the astonishing discovery. What they find defies their imaginations and mocks their attempts at logical explanation. It is a spaceship, but apparently it is undamaged by its fall from the sky. And, most startling, it appears to be at least three hundred years old, containing a terrifying and destructive force that must be controlled at all costs.",Michael Crichton,Vintage,2012-05-14,Fiction,60.0
Like Water for Chocolate,"The bestselling phenomenon and inspiration for the award-winning film. Earthy, magical, and utterly charming, this tale of family life in turn-of-the-century Mexico blends poignant romance and bittersweet wit. This classic love story takes place on the De la Garza ranch, as the tyrannical owner, Mama Elena, chops onions at the kitchen table in her final days of pregnancy. While still in her mother's womb, her daughter to be weeps so violently she causes an early labor, and little Tita slips out amid the spices and fixings for noodle soup. This early encounter with food soon becomes a way of life, and Tita grows up to be a master chef, using cooking to express herself and sharing recipes with readers along the way.",Laura Esquivel,Anchor,2002-08-13,Fiction,20.0
Hearts in Atlantis,"King mesmerizes readers with fiction deeply rooted in the sixties, exploring in five interconnected narratives, spanning 1960 to 1999, the haunting legacy of the Vietnam War. ""Engaging . . . King's gift of storytelling is rich"".--""The Los Angles Times Book Review"".",Stephen King,Simon and Schuster,2017-11-14,Fiction,46.0
In Cold Blood: A True Account of a Multiple Murder and Its Consequences,"'Dick became convinced that Perry was that rarity, 'a natural killer'- absolutely sane, but conscienceless, and capable of dealing, with or without motive, the coldest-blooded deathblows' On November 15, 1959, in the small town of Holcomb, Kansas, a wealthy farmer, his wife and their two young children were found brutally murdered. Blood all over the walls, the telephone lines cut, and only a few dollars stolen. Heading up the investigation is Agent Al Dewey, but all he has are two footprints, four bodies, and a whole lot of questions. Truman Capote's detailed reconstruction of the events and consequences of that fateful night, In Cold Blood is a chilling, gripping mix of journalistic skill and imaginative power. 'One of the stupendous books of the decade.' Sunday Express",Truman Capote,Viking,2012,Murder,242.0
The Sea Wolf,"This carefully crafted ebook: “The Sea Wolf (Unabridged)” is formatted for your eReader with a functional and detailed table of contents. John Griffith ""Jack"" London was an American author, journalist, and social activist. He was a pioneer in the then-burgeoning world of commercial magazine fiction and was one of the first fiction writers to obtain worldwide celebrity and a large fortune from his fiction alone. He is best remembered as the author of Call of the Wild and White Fang, both set in the Klondike Gold Rush, as well as the short stories ""To Build a Fire"", ""An Odyssey of the North"", and ""Love of Life. He also wrote of the South Pacific in such stories as ""The Pearls of Parlay"" and ""The Heathen"", and of the San Francisco Bay area in The Sea Wolf. The Sea-Wolf is a 1904 psychological adventure about a literary critic and survivor of an ocean collision, who comes under the dominance of Wolf Larsen, the powerful and amoral sea captain who rescues him. A deranged and abusive sea captain perpetrates a shipboard atmosphere of increasing violence that ultimately boils into mutiny, shipwreck, and a desperate confrontation...",Jack London,e-artnow,2013-07-10,Fiction,22.0
Zen and the Art of Motorcycle Maintenance,"THE CLASSIC BOOK THAT HAS INSPIRED MILLIONS A penetrating examination of how we live and how to live better Few books transform a generation and then establish themselves as touchstones for the generations that follow. Zen and the Art of Motorcycle Maintenance is one such book. This modern epic of a man’s search for meaning became an instant bestseller on publication in 1974, acclaimed as one of the most exciting books in the history of American letters. It continues to inspire millions. A narration of a summer motorcycle trip undertaken by a father and his son, Zen and the Art of Motorcycle Maintenance becomes a personal and philosophical odyssey into fundamental questions on how to live. The narrator's relationship with his son leads to a powerful self-reckoning; the craft of motorcycle maintenance leads to an austerely beautiful process for reconciling science, religion, and humanism. Resonant with the confusions of existence, this classic is a touching and transcendent book of life. This new edition contains an interview with Pirsig and letters and documents detailing how this extraordinary book came to be.",Robert M. Pirsig,Harper Collins,2009-04-21,Philosophy,3618.0
Gorky Park,"The “gripping, romantic, and dazzlingly original” (Cosmopolitan) Arkady Renko book that started it all: the #1 bestseller Gorky Park, an espionage classic that begins the series, by Martin Cruz Smith, “the master of the international thriller” (The New York Times). It begins with a triple murder in a Moscow amusement center: three corpses found frozen in the snow, faces and fingers missing. Chief homicide investigator Arkady Renko is brilliant, sensitive, honest, and cynical about everything except his profession. To identify the victims and uncover the truth, he must battle the KGB, FBI, and the New York City police as he pursues a rich, ruthless, and well-connected American fur dealer. Meanwhile, Renko is falling in love with a beautiful, headstrong dissident for whom he may risk everything. “Brilliant...there are enough enigmas within enigmas within enigmas to reel the mind” (The New Yorker) in this wonderfully textured, vivid look behind the Iron Curtain. “Once one gets going, one doesn’t want to stop...The action is gritty, the plot complicated, and the overriding quality is intelligence” (The Washington Post). The first in a classic series, Gorky Park “reminds you just how satisfying a smoothly turned thriller can be” (The New York Times Book Review).",Martin Cruz Smith,Pocket Books,2020-01-28,Fiction,34.0
"Incubus Dreams (Anita Blake, Vampire Hunter, Book 12)","In her role as consort of Jean-Claude, the seductive Master Vampire of the City, Anita Blake is faced with a dangerous conflict of interest when she assists with the search for a vampire serial killer who is stalking strippers.",Laurell K. Hamilton,"Anita Blake, Vampire Hunter",2005-10,Fiction,2.0
QBQ! The Question Behind the Question: Practicing Personal Accountability at Work and in Life,"The lack of personal accountability is a problem that has resulted in an epidemic of blame, victim thinking, complaining, and procrastination. No organization—or individual—can successfully compete in the marketplace, achieve goals and objectives, provide outstanding service, engage in exceptional teamwork, or develop people without personal accountability. John G. Miller believes that the troubles that plague organizations cannot be solved by pointing fingers and blaming others. Rather, the real solutions are found when each of us recognizes the power of personal accountability. In QBQ! The Question Behind the Question®, Miller explains how negative, ill-focused questions like “Why do we have to go through all this change?” and “Who dropped the ball?” represent a lack of personal accountability. Conversely, when we ask better questions—QBQs—such as “What can I do to contribute?” or “How can I help solve the problem?” our lives and our organizations are transformed. THE QBQ! PROMISE This remarkable and timely book provides a practical method for putting personal accountability into daily actions, with astonishing results: problems are solved, internal barriers come down, service improves, teams thrive, and people adapt to change more quickly. QBQ! is an invaluable resource for anyone seeking to learn, grow, and change. Using this tool, each of us can add tremendous worth to our organizations and to our lives by eliminating blame, victim-thinking, and procrastination. QBQ! was written more than a decade ago and has helped countless readers practice personal accountability at work and at home. This version features a new foreword, revisions and new material throughout, and a section of FAQs that the author has received over the years.",John G. Miller,Penguin,2004-09-09,Business & Economics,8.0
"Redwall: Redwall, Book 1","Soon to be a Netflix original movie! One of TIME Magazine’s 100 Best Fantasy Books of All Time The book that inspired a legend—the first novel in the beloved, bestselling Redwall saga. Welcome to Mossflower Wood, where the gentle mice have gathered to celebrate a year of peace and abundance. All is well…until a sinister shadow falls across the ancient stone abbey of Redwall. It is rumored that Cluny is coming—Cluny, the terrible one-eyed rat and his savage horde—Cluny, who has vowed to conquer Redwall Abbey! The only hope for the besieged mice lies in the lost sword of the legendary Martin the Warrior. And so begins the epic quest of a bumbling young apprentice—a courageous mouse who would rise up, fight back…and become a legend himself. Perfect for fans of T. A. Barron’s Merlin saga, John Flanagan’s Ranger’s Apprentice series, and J. R. R. Tolkien’s Lord of the Rings series. “The medieval world of Redwall Abbey—where gallant mouse warriors triumph over evil invaders—has truly become the stuff of legend.” —Seattle Post-Intelligencer",Brian Jacques,Penguin,2002-09-30,Juvenile Fiction,75.0
Ella Enchanted,"This beloved Newbery Honor-winning story about a feisty heroine is sure to enchant readers new and old. At her birth, Ella of Frell receives a foolish fairy's gift—the “gift” of obedience. Ella must obey any order, whether it's to hop on one foot for a day and a half, or to chop off her own head! But strong-willed Ella does not accept her fate... Against a bold backdrop of princes, ogres, giants, wicked stepsisters, and fairy godmothers, Ella goes on a quest to break the curse forever. A tween favorite for 25 years—now shared with today's young readers by moms, teachers, and other adults who remember the pleasure of discovering this fun fairy-tale retelling themselves!",Gail Carson Levine,Harper Collins,2012-12-26,Juvenile Fiction,210.0
Esperanza Rising,"Esperanza Rising joins the Scholastic Gold line, which features award-winning and beloved novels. Includes exclusive bonus content! Esperanza thought she'd always live a privileged life on her family's ranch in Mexico. She'd always have fancy dresses, a beautiful home filled with servants, and Mama, Papa, and Abuelita to care for her. But a sudden tragedy forces Esperanza and Mama to flee to California and settle in a Mexican farm labor camp. Esperanza isn't ready for the hard work, financial struggles brought on by the Great Depression, or lack of acceptance she now faces. When Mama gets sick and a strike for better working conditions threatens to uproot their new life, Esperanza must find a way to rise above her difficult circumstances-because Mama's life, and her own, depend on it.",Pam Muñoz Ryan,Scholastic Inc.,2012-10-01,Juvenile Fiction,396.0
"Little women, or, Meg, Jo, Beth, and Amy","Little Women with a twist: four sisters from a blended family experience the challenges and triumphs of life in NYC in this beautiful full-color graphic novel perfect for fans of Roller Girl and Smile. Meg, Jo, Beth, and Amy are having a really tough year: with their father serving in the military overseas, they must work overtime to make ends meet...and each girl is struggling in her own way. Whether it's school woes, health issues, boy troubles, or simply feeling lost, the March sisters all need the same thing: support from each other. Only by coming together--and sharing lots of laughs and tears--will these four young women find the courage to discover who they truly are as individuals...and as a family. Meg is the eldest March, and she has a taste for the finer things in life. She dreams of marrying rich, enjoying fabulous clothes and parties, and leaving her five-floor walk-up apartment behind. Jo pushes her siblings to be true to themselves, yet feels like no one will accept her for who she truly is. Her passion for writing gives her an outlet to feel worthy in the eyes of her friends and family. Beth is the shy sister with a voice begging to be heard. But with a guitar in hand, she finds a courage that inspires her siblings to seize the day and not take life for granted. Amy may be the baby of the family, but she has the biggest personality. Though she loves to fight with her sisters, her tough exterior protects a vulnerable heart that worries about her family's future.",Rey Terciero,"Little, Brown Books for Young Readers",2019-02-05,Juvenile Fiction,6.0
Hatchet,"Celebrate the thirtieth anniversary of the Newbery Honor–winning survival novel Hatchet with a pocket-sized edition perfect for travelers to take along on their own adventures. This special anniversary edition includes a new introduction and commentary by author Gary Paulsen, pen-and-ink illustrations by Drew Willis, and a water resistant cover. Hatchet has also been nominated as one of America’s best-loved novels by PBS’s The Great American Read. Thirteen-year-old Brian Robeson, haunted by his secret knowledge of his mother’s infidelity, is traveling by single-engine plane to visit his father for the first time since the divorce. When the plane crashes, killing the pilot, the sole survivor is Brian. He is alone in the Canadian wilderness with nothing but his clothing, a tattered windbreaker, and the hatchet his mother had given him as a present. At first consumed by despair and self-pity, Brian slowly learns survival skills—how to make a shelter for himself, how to hunt and fish and forage for food, how to make a fire—and even finds the courage to start over from scratch when a tornado ravages his campsite. When Brian is finally rescued after fifty-four days in the wild, he emerges from his ordeal with new patience and maturity, and a greater understanding of himself and his parents.",Gary Paulsen,Simon and Schuster,2009-08-25,Juvenile Fiction,270.0
Hoot,"Roy, who is new to his small Florida community, befriends a mysterious boy who introduces him to potty-trained alligators, burrowing owls, and sparkly-tailed poisonous snakes. A Newbery Honor Book, ALA Notable Book, & ALA Best Book for Young Adults. Reissue.",Carl Hiaasen,Yearling Books,2006,Alligators,128.0
"The Lion, The witch and the Wardrobe","C. S. Lewis was a British author, lay theologian, and contemporary of J.R.R. Tolkien. The Lion, the Witch, and the Wardrobe is the first book in The Chronicles of Narnia.",C.S. Lewis,"Wyatt North Publishing, LLC",2018-04-10,Fiction,394.0
The Five Love Languages: The Secret to Love that Lasts,"Over 20 million copies sold! A perennial New York Times bestseller for over a decade! Falling in love is easy. Staying in love—that’s the challenge. How can you keep your relationship fresh and growing amid the demands, conflicts, and just plain boredom of everyday life? In the #1 New York Times international bestseller The 5 Love Languages, you’ll discover the secret that has transformed millions of relationships worldwide. Whether your relationship is flourishing or failing, Dr. Gary Chapman’s proven approach to showing and receiving love will help you experience deeper and richer levels of intimacy with your partner—starting today. The 5 Love Languages is as practical as it is insightful. Updated to reflect the complexities of relationships today, this new edition reveals intrinsic truths and applies relevant, actionable wisdom in ways that work. Includes the Couple's Personal Profile assessment so you can discover your love language and that of your loved one.",Gary Chapman,Moody Publishers,2014-12-11,Family & Relationships,195.0
HIS EXCELLENCY GEORGE WASHINGTON.,"Draws on the Washington papers from archives at the University of Virginia to chronicle George Washington's military career and presidential years, discussing his struggle to keep an emerging America united and other accomplishments.",Joseph J. Ellis,Vintage,2005,Biography & Autobiography,55.0
Out of the Dust,Acclaimed author Karen Hesse's Newbery Medal-winning novel-in-verse explores the life of fourteen-year-old Billie Jo growing up in the dust bowls of Oklahoma.,Karen Hesse,Scholastic Inc.,2012-09-01,Juvenile Fiction,156.0
Waiting,"After her husband leaves her, Jane Lindsay finds an old ring in a box of relics from a British jumble sale and discovers a Latin inscription in the band along with just one other word: ""Jane."" Feeling instant connection to the mysterious ring bearing hernamesake, Jane begins a journey to learn more about the ring--and perhaps about herself and the lives of a sixteenth century dressmaker, Lucy Day, and the innocent young woman known in history as Lady Jane Grey.",Susan Meissner,WaterBrook,2010,Fiction,72.0
Death comes for the Archbishop,"""Death Comes for the Archbishop"" by Willa Cather. Published by Good Press. Good Press publishes a wide range of titles that encompasses every genre. From well-known classics & literary fiction and non-fiction to forgotten−or yet undiscovered gems−of world literature, we issue the books that need to be read. Each Good Press edition has been meticulously edited and formatted to boost readability for all e-readers and devices. Our goal is to produce eBooks that are user-friendly and accessible to everyone in a high-quality digital format.",Willa Cather,Good Press,2021-08-31,Fiction,28.0
Motherless Brooklyn,"A complusively readable riff on the classic detective novel from America's most inventive novelist Winner of the National Book Critics Circle Award and a New York Times Notable Book ""Utterly original and deeply moving."" —Esquire Brooklyn's very own self-appointed Human Freakshow, Lionel Essrog is an orphan whose Tourettic impulses drive him to bark, count, and rip apart our language in startling and original ways. Together with three veterans of the St. Vincent's Home for Boys, he works for small-time mobster Frank Minna's limo service cum detective agency. Life without Frank Minna, the charismatic King of Brooklyn, would be unimaginable, so who cares if the tasks he sets them are, well, not exactly legal. But when Frank is fatally stabbed, one of Lionel's colleagues lands in jail, the other two vie for his position, and the victim's widow skips town. Lionel's world is suddenly topsy-turvy, and this outcast who has trouble even conversing attempts to untangle the threads of the case while trying to keep the words straight in his head. Motherless Brooklyn is a brilliantly original, captivating homage to the classic detective novel by one of the most acclaimed writers of his generation.",Jonathan Lethem,Vintage,2011-04-20,Fiction,50.0
Moby Dick,"Moby Dick is a novel by American author Herman Melville. It was first published in 1851. It is considered one of the treasures of world literature. The story of the novel tells the adventures of the wandering sailor Ishmael and his voyage on the whaleship Pequod. Pequod is commanded by Captain Ahab. Ishmael soon knows that Ahab seeks one specific whale, Moby Dick, a ferocious, enigmatic white whale. In a previous encounter, the whale destroyed Ahab’s boat and bit off his leg. Ahab intends to take revenge. This book, under the series ‘Young Reader Classic’, tells the story of Ishmael and his voyage in an interesting way. The language used in the book is simple and lucid. The lively and attractive illustrations make the story even more interesting.",Herman Melville,Dreamland - Lebanon,2016-06-17,Young Adult Fiction,76.0
Sense and sensibility,"Jane Austen's first published work, meticulously constructed and sparkling with her unique wit Marianne Dashwood wears her heart on her sleeve, and when she falls in love with the dashing but unsuitable John Willoughby she ignores her sister Elinor's warning that her impulsive behaviour leaves her open to gossip and innuendo. Meanwhile Elinor, always sensitive to social convention, is struggling to conceal her own romantic disappointment, even from those closest to her. Through their parallel experience of love - and its threatened loss - the sisters learn that sense must mix with sensibility if they are to find personal happiness in a society where status and money govern the rules of love. This edition also includes explanatory notes and textual variants between first and second edition. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",Jane Austen,Penguin,2003-04-29,Fiction,2409.0
The Bell Jar : A Novel (Perennial Classics),"This carefully crafted ebook: ""The Bell Jar"" is formatted for your eReader with a functional and detailed table of contents. Esther Greenwood, a young woman from the suburbs of Boston, gains a summer internship at a prominent magazine in New York City, under editor Jay Cee; however, Esther is neither stimulated nor excited by either the big city or the glamorous culture and lifestyle that girls her age are expected to idolize and emulate. She instead finds her experience to be frightening and disorienting. From hereafter her mental state keeps deteriorating until she starts feeling helpless as if being kept inside a glass bell jar! The Bell Jar is the only novel written by the American writer and poet Sylvia Plath. Originally published under the pseudonym ""Victoria Lucas"" in 1963, the novel is semi-autobiographical, with the names of places and people changed. The book is often regarded as a roman à clef because the protagonist's descent into mental illness parallels Plath's own experiences with what may have been clinical depression or bipolar II disorder. Plath died by suicide a month after its first UK publication. The novel was published under Plath's name for the first time in 1967 and was not published in the United States until 1971, in accordance with the wishes of both Plath's husband, Ted Hughes, and her mother.",Sylvia Plath,e-artnow,2018-07-29,Fiction,170.0
TRAVELING MERCIES. SOME THOUGHTS ON FAITH.,"Combining elements of spiritual study and memoir, the author describes her odyssey of faith, drawing on her own sometimes troubled past to explore the many ways in which faith sustains and guides one's daily life",Anne Lamott,Anchor,2000-02-01,Biography & Autobiography,47.0
"Guns, Germs, and Steel: The Fates of Human Societies","""Fascinating.... Lays a foundation for understanding human history.""—Bill Gates In this ""artful, informative, and delightful"" (William H. McNeill, New York Review of Books) book, Jared Diamond convincingly argues that geographical and environmental factors shaped the modern world. Societies that had had a head start in food production advanced beyond the hunter-gatherer stage, and then developed religion --as well as nasty germs and potent weapons of war --and adventured on sea and land to conquer and decimate preliterate cultures. A major advance in our understanding of human societies, Guns, Germs, and Steel chronicles the way that the modern world came to be and stunningly dismantles racially based theories of human history. Winner of the Pulitzer Prize, the Phi Beta Kappa Award in Science, the Rhone-Poulenc Prize, and the Commonwealth club of California's Gold Medal.",Jared Diamond,W. W. Norton & Company,2017-03-07,History,31.0
The Watsons Go to Birmingham: 1963,"The ordinary interactions and everyday routines of the Watsons, an African American family living in Flint, Michigan, are drastically changed after they go to visit Grandma in Alabama in the summer of 1963.",Christopher Paul Curtis,Yearling,2020-11-03,Juvenile Fiction,7.0
Blood Canticle,"Anne Rice continues her astonishing Vampire Chronicles in a new novel that begins where Blackwood Farm left off — and tells the story of Lestat’s quest for redemption, goodness, and the love of Rowan Mayfair. Welcome back to Blackwood Farm. Here are all of the brilliantly conceived characters that make up the two worlds of vampires and witches: Mona Mayfair, who’s come to the farm to die and is brought into the realm of the undead; her uncle, Julian Mayfair, guardian of the family, determined to forever torment Lestat for what he has done to Mona; Rowan Mayfair, brilliant neurosurgeon and witch, who finds herself dangerously drawn to the all-powerful Lestat; her husband, Michael Curry, hero of the Mayfair Chronicles, who seeks Lestat’s help with the temporary madness of his wife; Ash Templeton, a 5,000-year-old Taltos who has taken Mona’s child; and Patsy, the country-western singer, who returns to avenge her death at the hands of her son, Quinn Blackwood. Delightfully, at the book’s centre is the Vampire Lestat, once the epitome of evil, now pursuing the transformation set in motion with Memnoch the Devil. He struggles with his vampirism and yearns for goodness, purity and love, as he saves Patsy’s ghost from the dark realm of the Earthbound, uncovers the mystery of the Taltos and unselfishly decides the fate of his beloved Rowan Mayfair. A story of love and loyalty, of the search for passion and promise, Blood Canticle is Anne Rice at her finest.",Anne Rice,Ballantine Books,2003-10-28,Fiction,2.0
Shiloh,"Marty will do anything to save his new friend Shiloh in this Newbery Medal–winning novel from Phillis Reynolds Naylor. When Marty Preston comes across a young beagle in the hills behind his home, it's love at first sight—and also big trouble. It turns out the dog, which Marty names Shiloh, belongs to Judd Travers, who drinks too much and has a gun—and abuses his dogs. So when Shiloh runs away from Judd to Marty, Marty just has to hide him and protect him from Judd. But Marty's secret becomes too big for him to keep to himself, and it exposes his entire family to Judd's anger. How far will Marty have to go to make Shiloh his?",Phyllis Reynolds Naylor,Simon and Schuster,2012-06-26,Juvenile Fiction,33.0
Wolves of the Calla: Dark Tower V,"Now a major motion picture starring Matthew McConaughey and Idris Elba Wolves of the Calla is the highly anticipated fifth book in Stephen King’s Dark Tower series—a unique bestselling epic fantasy quest inspired many years ago by The Lord of the Rings. Set in a world of extraordinary circumstances, filled with stunning visual imagery and unforgettable characters, the Dark Tower series is unlike anything you have ever read. Here is the fifth installment.",Stephen King,Scribner,2005-01-04,Fiction,79.0
The King of Torts,"Washed-up public defender Clay Carter's latest case, a routine street killing, takes an unexpected turn when he discovers evidence of a conspiracy involving a large drug company and a lawsuit with a huge potential settlement. Reprint. 35,000 first printing.",John Grisham,Dell,2012,Fiction,36.0
Great Expectations (Signet classics),Dickens' account of the rises and relapses of an orphan whose expectations and ambitions are greatly shaped and transformed by a mysterious benefactor,Charles Dickens,Signet Classics,1980,Fiction,4.0
Jane Eyre (New Windmill),"This series provides unabridged versions of pre-20th-century novels, complete with an introduction, glossary, extended writing questions and activities. Their sewn binding and hard laminated covers make them hardwearing for class use.",Charlotte Brontë,Heinemann Educational Publishers,1993,Charity-schools,2634.0
"23 Minutes In Hell: One Man's Story About What He Saw, Heard, and Felt in that Place of Torment","New York Times Best Seller and Over 1 million copies sold! Over 750 5-Star reviews Wiese’s visit to the devil’s lair lasted just twenty-three minutes, but he returned with vivid details etched in his memory, capturing the attention of national media, including the Christian Broadcasting Network, Daystar Television Network, Trinity Broadcasting Network, the Miracle Channel, Sid Roth’s It’s Supernatural!, Sean Hannity’s America, Charisma News, and many others. Bill Wiese experienced something so horrifying it continues to captivate the world. He saw the searing flames of hell, felt total isolation, smelled the putrid and rotting stench, heard deafening screams of agony, and experienced terrorizing demons. Finally the strong hand of God lifted him out of the pit. Now Wiese shares his insights on commonly asked questions such as: Is hell a literal burning place? Where is hell? Do you have a body in hell? Are there degrees of punishment in hell? Are there children in hell? Can demons torment people in hell? Can “good” people go to hell?",Bill Wiese,Charisma Media,2010-09-24,Religion,263.0
